year,month,day,weekday,time_label,route,airline,pred_fare
2024,9,1,일요일,오전,광주->제주,이스타항공,66187
2024,9,1,일요일,오후,광주->제주,아시아나항공,69192
2024,9,1,일요일,저녁,광주->제주,아시아나항공,70458
2024,9,1,일요일,오전,군산->제주,이스타항공,70174
2024,9,1,일요일,오후,군산->제주,아시아나항공,71961
2024,9,1,일요일,저녁,군산->제주,아시아나항공,73656
2024,9,1,일요일,오전,김포->제주,제주항공,51020
2024,9,1,일요일,오후,김포->제주,제주항공,51296
2024,9,1,일요일,저녁,김포->제주,제주항공,46744
2024,9,1,일요일,오전,대구->제주,이스타항공,64026
2024,9,1,일요일,오후,대구->제주,아시아나항공,69060
2024,9,1,일요일,저녁,대구->제주,아시아나항공,64570
2024,9,1,일요일,오전,무안->제주,이스타항공,72771
2024,9,1,일요일,오후,무안->제주,아시아나항공,76583
2024,9,1,일요일,저녁,무안->제주,아시아나항공,76578
2024,9,1,일요일,오전,부산->제주,이스타항공,61650
2024,9,1,일요일,오후,부산->제주,아시아나항공,59752
2024,9,1,일요일,저녁,부산->제주,아시아나항공,64691
2024,9,1,일요일,오전,사천->제주,이스타항공,66864
2024,9,1,일요일,오후,사천->제주,아시아나항공,73467
2024,9,1,일요일,저녁,사천->제주,이스타항공,72267
2024,9,1,일요일,오전,여수->제주,이스타항공,59502
2024,9,1,일요일,오후,여수->제주,아시아나항공,64614
2024,9,1,일요일,저녁,여수->제주,아시아나항공,65740
2024,9,1,일요일,오전,울산->제주,이스타항공,66092
2024,9,1,일요일,오후,울산->제주,아시아나항공,71576
2024,9,1,일요일,저녁,울산->제주,이스타항공,70263
2024,9,1,일요일,오전,원주->제주,이스타항공,78464
2024,9,1,일요일,오후,원주->제주,제주항공,81400
2024,9,1,일요일,저녁,원주->제주,이스타항공,79786
2024,9,1,일요일,오전,제주->광주,이스타항공,58775
2024,9,1,일요일,오후,제주->광주,티웨이항공,73405
2024,9,1,일요일,저녁,제주->광주,아시아나항공,68626
2024,9,1,일요일,오전,제주->군산,이스타항공,61464
2024,9,1,일요일,오후,제주->군산,제주항공,81822
2024,9,1,일요일,저녁,제주->군산,이스타항공,66245
2024,9,1,일요일,오전,제주->김포,아시아나항공,72703
