id,visitAreaNm,radNmAddr,visitAreaTypeCd,hashtags,time,contact,info,fare,description,imageUrl
CONT_000000000500349,성산일출봉,제주특별자치도 서귀포시 성산읍 일출로 284-12,자연관광지,#웅장한자연 #경이로운풍경 #일출의감동 #자연과하나됨 #새벽의평화 #눈부신아침 #자연의신비 #고요한아침 #자연속의여유 #자연의위엄 #치유의순간 #아름다운추억 #신비로운자연 #마음의쉼터 #영감의장소,"['평일: 07:00~20:00', '주말: 07:00~20:00']",(+82) 064-783-0959,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설","유료,개인 (성인 5,000원 / 청소년, 군인 2,500원 / 어린이 2,500원), 단체 (성인 4,000원 / 청소년, 군인 2,000원 / 어린이 2,000원)","성산일출봉은 제주도에서 가장 아름다운 일출 명소 중 하나로 손꼽히는 곳입니다. 이곳에서는 바다와 맞닿은 절경을 감상하며 아침 해가 떠오르는 장관을 경험하실 수 있습니다. 정상에 오르면 탁 트인 전망이 펼쳐져 제주도의 자연미를 한눈에 담을 수 있으며, 경쾌한 바람과 함께 산책을 즐기기에도 좋습니다. 또한, 성산일출봉 주변에는 다양한 식물과 생태계가 있어 자연 탐방에도 안성맞춤입니다. 꼭 한 번 들러보셔서 제주의 매력을 느껴보시길 권해드립니다.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202409/20/464d6099-295a-4e60-bd93-9e65388f4d0d.png
CONT_000000000500477,우도,제주특별자치도 제주시 우도면 삼양고수물길 1,자연관광지,#자연의품속 #청량한바람 #푸른바다 #아름다운섬 #평온한시간 #자유로운기분 #맑은하늘 #자연과조화 #잔잔한파도 #힐링여행 #느긋한여유 #고요한정적 #눈부신경관 #마음의안식 #신비로운경치,"['평일: 00:00~00:00', '주말: 00:00~00:00']",(+82) 064-782-5671,"공용주차장,화장실,편의점,음료대","유료,일반 입장료 : 100원 / 장애인 무료 (선박료 별도)","우도는 제주도의 보석 같은 섬으로, 탁 트인 바다와 푸른 하늘이 어우러진 아름다운 풍경을 자랑합니다. 특히, 해변 산책로는 마음을 정화시키는 멋진 경험을 선사합니다. 또한, 우도의 맛집에서는 신선한 해산물 요리를 즐기실 수 있으며, 현지의 특산물을 맛보는 것도 큰 즐거움입니다. 자연과 사람이 어우러진 이곳에서 평온한 시간을 보내며, 일상에서 벗어나 새로운 활력을 찾으실 수 있습니다. 우도에서의 소중한 추억을 만들어 보세요.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/21/92bf5bba-77fc-4829-8555-5076b2e7bb52.jpg
CONT_000000000500281,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,자연관광지,#평온한산책 #자연과하나되다 #맑은공기 #숲속의쉼터 #마음의안식처 #초록의힐링 #자연속으로 #조용한여유 #힐링의시간 #푸르른경험 #숲속모험 #자연의소리 #기분전환 #스트레스해소 #자연의품속에서,"['평일: 09:00~17:00', '주말: 09:00~17:00']",(+82) 064-900-8800,화장실,,"사려니숲길은 자연의 정취를 고스란히 느낄 수 있는 아름다운 숲길입니다. 이곳은 맑은 공기와 함께 울창한 삼나무 숲이 어우러져 산책이나 트레킹을 즐기기에 최적의 장소입니다. 숲길을 걷다 보면 다양한 식물들과 신선한 풀내음을 만끽할 수 있으며, 곳곳에 마련된 쉼터에서 여유롭게 휴식을 취할 수 있습니다. 자연과 하나 되는 기분을 느끼며 일상의 스트레스를 해소할 수 있는 사려니숲길에서 소중한 시간을 보내시길 권해드립니다.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/16/a1b79a17-078f-4232-be2d-980f5f5e2a6e.jpg
CNTS_000000000001195,카멜리아힐,제주 서귀포시 안덕면 병악로 166,자연관광지,#평온한산책 #자연속의휴식 #마음의힐링 #맑은공기 #눈부신풍경 #자연의아름다움 #여유로운시간 #평화로운순간 #감성충전 #포근한느낌 #자연의선물 #따뜻한기운 #잔잔한행복 #푸른경관 #자연과함께,"['평일: 08:30~19:00', '주말: 08:30~19:00']",(+82) 064-800-6296,"공용주차장,현금결제,카드결제,화장실","유료,개인 (성인 10,000원 / 청소년, 경로, 군인 8,000원 / 어린이, 장애인, 보훈대상 및 4.3 유족 7,000원), 단체 (성인 8,000원 / 청소년, 경로, 군인 7,000원 / 어린이, 장애인, 보훈대상 및 4.3 유족 6,000원)","카멜리아힐은 다양한 동백나무 품종을 자랑하는 아름다운 정원입니다. 사계절 내내 피어나는 화려한 꽃들 속에서 산책을 즐기며 평온함을 느껴보세요. 정원의 구석구석을 둘러보며 자연 속에서 힐링하는 시간을 가져보실 수 있습니다. 특히 겨울철에는 붉게 피어나는 동백꽃들이 장관을 이루어, 사진 촬영에도 더없이 좋은 장소입니다. 방문객을 위한 다양한 편의시설과 아기자기한 카페도 마련되어 있어, 여유로운 시간을 보내기에 안성맞춤입니다. 제주에서의 특별한 추억을 만들어보세요.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202406/21/0db4507a-36a3-4bc5-8259-ba29838e1717.jpg
CONT_000000000500697,협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,자연관광지,#청량한바람 #맑은하늘 #파도소리 #고요한순간 #자연의선물 #끝없는바다 #황홀한노을 #바다와함께 #푸른바다 #자연의소리 #힐링여행 #평온한시간 #시원한풍경 #자연의아름다움 #바다내음,,(+82) 064-728-3981,"공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",무료,"협재해수욕장은 맑고 투명한 바다와 고운 백사장이 어우러진 환상적인 해변입니다. 에메랄드빛 바다는 눈길을 사로잡으며, 얕은 수심 덕분에 가족 단위 여행자에게도 안성맞춤입니다. 또한, 해변을 따라 늘어선 야자수와 석양이 만들어내는 풍경은 사진 찍기에도 좋습니다. 주변에는 맛있는 해산물 요리를 즐길 수 있는 음식점과 다양한 카페가 있어 편안한 휴식을 취하실 수 있습니다. 제주도의 자연을 만끽하며 여유로운 시간을 보내기에 더할 나위 없는 협재해수욕장을 꼭 방문해보세요.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/27/6b6dc9c4-5466-493e-98e5-580dbf18eefc.jpg
CONT_000000000500496,월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 33-3,자연관광지,#평온한바다 #자유로운기분 #맑은공기 #탁트인전망 #자연의포근함 #바다의속삭임 #힐링여행 #마음의안식처 #청정한환경 #새로운발견 #잊지못할순간 #감성여행 #자연과하나됨 #아름다운추억 #휴식과치유,"['평일: 10:00~19:00', '주말: 10:00~19:00']",(+82) 064-783-5798,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,"월정리해수욕장은 맑고 푸른 바다와 깨끗한 백사장이 어우러져 아름다운 자연경관을 즐기실 수 있는 곳입니다. 해변을 따라 펼쳐진 카페와 레스토랑에서 여유로운 시간을 보내실 수 있으며, 해양 스포츠와 다양한 야외 활동도 즐기실 수 있습니다. 투명한 바닷물 속에서 스노클링을 하며 해양 생태계를 직접 체험해 보시거나, 일몰이 지는 아름다운 풍경을 감상하며 낭만적인 시간을 보내보세요. 가족, 친구, 연인과 함께하는 여행에서 평생 잊지 못할 추억을 만드실 수 있을 것입니다.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202407/10/6136a994-a08d-495a-a912-0a1e7b1171e8.jpg
CONT_000000000500693,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,자연관광지,#청량한바람 #푸른바다 #아름다운풍경 #자연속의여유 #힐링스팟 #맑은하늘 #평온한시간 #여유로운산책 #해변의낭만 #바다내음 #자연과함께 #마음의안식 #햇살가득 #고요한파도 #자연의아름다움,,(+82) 064-728-3989,"공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",무료,"함덕해수욕장은 투명하고 푸른 바다와 고운 백사장이 어우러져 한 폭의 그림 같은 풍경을 자랑합니다. 이곳은 가족 단위 여행객부터 연인들까지 누구나 즐길 수 있는 다양한 편의시설과 레저 활동을 제공합니다. 여름철에는 시원한 바다에서 수영을 즐기고, 가을과 겨울에는 차분한 산책을 통해 마음의 여유를 찾으실 수 있습니다. 주변에는 맛집과 카페도 많아 맛있는 제주 음식을 경험하실 수 있으며, 아름다운 일몰은 잊지 못할 추억을 선사합니다. 함덕해수욕장에서 자연과 함께하는 특별한 시간을 보내보세요.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/20/df7e7656-d60b-4748-8793-4996c50aeff6.jpg
CONT_000000000500283,산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,자연관광지,#웅장한자연 #신비로운풍경 #평온한시간 #자연의신비 #마음의안식 #자연속힐링 #여유로운순간 #자연과함께 #청정한공기 #자연속여행 #평화로운풍경 #고요한자연 #자연의소리 #자연의예술 #마음의치유,,(+82) 064-783-9900,"공용주차장,현금결제,카드결제,화장실,편의점,음료대","유료,개인 (성인 7,000원 / 청소년, 어린이 6,000원 / 경로, 도민, 국가유공자, 장애인 5,000원), 단체 (성인 6,000원 / 청소년, 어린이 5,000원) / 경로, 도민, 국가유공자, 장애인 5,000원","산굼부리는 제주도의 대표적인 자연 명소로, 방문객들에게 잊지 못할 경험을 선사합니다. 이곳은 수천 년 전 화산 폭발로 형성된 거대한 분화구로, 그 경이로운 풍경은 감탄을 자아냅니다. 사계절 내내 다양한 식물과 꽃들이 어우러져 아름다운 자연 경관을 자랑하며, 특히 가을에는 억새밭이 장관을 이룹니다. 산책로를 따라 걸으며 맑은 공기와 함께 제주도의 자연을 만끽해 보세요. 가족, 친구, 연인과 함께 소중한 추억을 만들기에 최적의 장소입니다.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/a7b4a973-40e9-44e6-87d9-46a4c4f3b367.jpg
CONT_000000000500309,새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,자연관광지,#황홀경 #자연의경이로움 #평온한순간 #자연속으로 #마음의안식처 #산행의즐거움 #녹음의아름다움 #자유로운영혼 #숨막히는전망 #자연속힐링 #평화로운산책 #맑은공기 #산림욕 #경이로운풍경 #자연의소리,,(+82) 064-728-2753/064-728-2762,"공용주차장,화장실,유도 및 안내시설",무료,새별오름은 자연의 아름다움과 고요함이 어우러진 명소입니다. 이곳에서는 사방이 펼쳐진 들판과 함께 제주의 풍경을 한눈에 담을 수 있습니다. 트레킹 코스는 가족 단위 여행객부터 산책을 즐기는 분들까지 모두가 편안하게 이용할 수 있습니다. 오름 정상에 오르면 맑은 날씨에는 멀리까지 보이는 탁 트인 전망이 일품입니다. 특히 일출과 일몰 시간대에는 하늘과 땅이 어우러진 환상적인 풍경을 감상할 수 있어 많은 분들께 추천드립니다. 새별오름에서 일상의 피로를 씻어내며 자연과 함께하는 특별한 시간을 가져보세요.,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202110/20/44ef8fe0-fd1b-4638-a01c-df4ee5a005e9.jpg
CONT_000000000500343,섭지코지,제주 서귀포시 성산읍 고성리,자연관광지,#탁트인전망 #바다내음 #평온한시간 #자연과하나됨 #힐링여행 #여유로운산책 #마음의안식처 #청정자연 #고요한아침 #아름다운절경 #자연속휴식 #맑은공기 #편안한쉼터 #자연의소리 #서정적인풍경,"['평일: 00:00~00:00', '주말: 00:00~00:00']",(+82) 064-782-2810,"공용주차장,현금결제,카드결제,화장실,편의점,음료대","무료,입장료 무료 / 주차비: 유료 (장애인 :500원)","섭지코지는 바다와 자연이 어우러진 아름다운 풍경이 매력적인 곳입니다. 해안선을 따라 펼쳐진 산책로를 걸으며 시원한 바닷바람을 느껴보세요. 특히 일출과 일몰 시간이 되면 하늘과 바다가 펼치는 환상적인 장관을 감상할 수 있습니다. 또한, 섭지코지에는 다양한 해양 생물이 서식하고 있어 자연 탐험을 즐기기에 안성맞춤입니다. 가족, 연인, 친구들과 함께 오셔서 잊지 못할 추억을 만드세요. 섭지코지는 매 순간이 사진 한 장처럼 아름다운 곳입니다.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/16/f18ca648-b42f-4209-b87a-2410b8da656d.jpg
CONT_000000000500457,오설록티뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15,"전시회, 박물관 등 문화시설",#고요한휴식 #차한잔의여유 #녹차향기 #평온한시간 #자연속의여유 #감성충만 #아늑한공간 #차와함께 #마음의안식 #힐링여행 #편안한분위기 #녹차의미학 #자연과조화 #차의예술 #차문화체험,"['평일: 09:00~19:00', '주말: 09:00~19:00']",(+82) 064-794-5312,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터",무료,"오설록티뮤지엄은 차와 관련된 다양한 문화를 체험할 수 있는 특별한 공간입니다. 이곳에서는 전통 차의 역사와 다양한 차의 종류에 대해 배울 수 있으며, 직접 차를 시음할 기회도 주어집니다. 특히, 아름다운 차밭과 함께하는 자연 경관이 일품으로, 방문객들에게 편안한 휴식과 힐링을 선사합니다. 또한, 차와 관련된 다양한 기념품과 독특한 차 음식들도 즐길 수 있어 모든 연령대의 방문객에게 특별한 경험을 제공합니다. 오설록티뮤지엄에서 차의 깊은 맛과 멋을 느껴보세요.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/21/256f72ce-2f8d-4e8b-a6bb-54d4bb6bd329.jpg
CONT_000000000500685,한라산국립공원,제주특별자치도 제주시 1100로 2070-61,자연관광지,#웅장한자연 #신비로운경관 #평온한산책 #맑은공기 #고요한숲속 #대자연의품 #마음의평화 #자연속힐링 #경이로운풍경 #자연의소리 #산속의쉼터 #청량한바람 #자연속여유 #푸르른산책로 #힐링여행,,(+82) 064-713-9950,"공용주차장,화장실,편의점,음료대","무료,주차료 있음","한라산국립공원은 대한민국에서 가장 높은 산인 한라산을 중심으로 펼쳐진 아름다운 자연 경관을 자랑하는 곳입니다. 사계절 내내 변화무쌍한 풍경과 다양한 식물군락, 그리고 독특한 동물들이 서식하는 이곳은 자연을 사랑하는 여행자에게 안성맞춤입니다. 특히, 한라산 정상에서 바라보는 일출과 일몰은 그야말로 장관이며, 크고 작은 폭포와 맑은 계곡에서의 트레킹은 잊지 못할 추억을 선사합니다. 한라산국립공원에서 자연의 웅장함과 평온함을 동시에 느껴보세요.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/e9cb50d3-bb50-4f68-b6ae-05887ec8715d.jpg
CONT_000000000500535,제주4.3평화공원,제주특별자치도 제주시 명림로 430,역사유적지,#역사적인교훈 #평화로운여정 #고요함속으로 #기억과마주하기 #문화적성찰 #아름다운추모 #감동의순간 #마음의안식처 #고통의기억 #감성적인위로 #추모의시간 #힐링의장소 #역사의흔적 #매우의미있는 #깊은성찰,"['평일: 09:00~18:00', '주말: 09:00~18:00']",(+82) 064-723-4344,"공용주차장,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설,엘리베이터",무료,"제주4.3평화공원은 제주도의 아픈 역사를 기억하고 평화를 기리는 특별한 공간입니다. 이곳은 1948년부터 1954년까지 이어진 제주4.3사건을 기리며, 희생자들의 고통과 용기를 기념합니다. 공원 내에는 다양한 전시관과 추모비가 있어, 당시의 역사적 사건을 깊이 이해할 수 있습니다. 자연과 어우러진 아름다운 경관 속에서 산책을 즐기며, 평화의 소중함을 다시 한 번 느껴보실 수 있습니다. 이곳을 방문하시면 제주도의 과거와 현재, 그리고 미래를 함께 생각해보는 뜻깊은 시간을 가지실 수 있을 것입니다.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202108/10/4e944e27-520c-42e6-bfa0-005337c08f92.jpg
CONT_000000000500438,에코랜드 테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169,테마파크,#황홀한자연 #눈부신풍경 #초록빛여행 #신비로운체험 #마음이탁트이는 #자연속의쉼표 #동심의세계 #산책의즐거움 #자연과의교감 #상쾌한기분 #평온한시간 #자유로운영혼 #자연속의모험 #순수한기쁨 #생태계탐험,"['평일: 08:30~21:50', '주말: 08:30~21:50']",(+82) 064-802-8000,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설","유료,성인 16,000원 / 청소년 13,000원 / 어린이 11,000원 / 경로 14,000원","에코랜드 테마파크는 자연과 어우러진 테마파크로, 제주도의 아름다운 숲과 호수 속에서 다양한 체험을 즐길 수 있는 곳입니다. 기차를 타고 숲을 탐험하며 맑은 공기와 푸른 자연을 만끽하실 수 있습니다. 또한, 각종 테마 정원과 호수를 둘러보며 여유로운 시간을 보내실 수 있으며, 아이들과 함께 즐길 수 있는 놀이 시설도 준비되어 있습니다. 가족, 연인, 친구들과 함께 행복한 시간을 보내기에 더할 나위 없는 장소입니다. 편안한 휴식과 즐거운 추억을 원하신다면 에코랜드 테마파크를 추천드립니다.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202110/21/40916b0e-7ce7-4c3f-8ad1-59aeef46d4c6.png
CONT_000000000500466,용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산28,자연관광지,#평온한자연 #숨막히는풍경 #감성힐링 #자연과교감 #안식처 #여유로운시간 #자연속의여행 #자연의신비 #힐링여행 #고요한아침 #푸른초원 #자연의품속 #마음의평안 #자연으로의초대 #자연의소리,,,,,"한국의 자연이 선사하는 아름다움을 만끽할 수 있는 용눈이오름을 소개합니다. 이곳은 매혹적인 초원과 완만한 산책로로 유명하여 누구나 쉽게 오를 수 있습니다. 봄에는 푸른 잔디와 꽃들이 어우러져 한 폭의 그림 같은 풍경을 선사하며, 가을에는 황금빛 물결이 일렁입니다. 정상에 오르면 제주도의 탁 트인 전경을 한눈에 내려다볼 수 있어 감탄을 자아냅니다. 용눈이오름은 자연의 평화를 느끼며 소중한 사람들과 소중한 추억을 만들기에 더없이 좋은 장소입니다.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202408/22/c528da67-1657-46e3-bb82-eaddb02ed706.jpg
CONT_000000000500270,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,자연관광지,#신비로운자연 #맑은공기 #초록빛향연 #평온한산책 #마음의안식처 #자연속휴식 #숲속여행 #생명의숲 #조용한시간 #힐링의숲 #자연과함께 #자연의숨결 #평화로운쉼터 #숲속의고요 #편안한쉼터,"['평일: 09:00~18:00', '주말: 09:00~18:00']",(+82) 064-710-7911,"공용주차장,현금결제,카드결제,화장실,무료 WIFI","유료,입장료 (일반 : 300원, 어린이.청소년 : 1,500원) / 장애인 할인 입장료 : 무료","비자림은 천년의 역사를 자랑하는 아름다운 숲으로, 자연의 경이로움을 체험할 수 있는 특별한 장소입니다. 비자나무와 다양한 식생이 조화를 이루며, 맑은 공기와 평온한 분위기를 만끽할 수 있습니다. 숲 속을 거닐다 보면 마음이 차분해지고, 자연의 소리를 들으며 힐링의 시간을 보낼 수 있습니다. 산책로가 잘 정비되어 있어 남녀노소 누구나 편안하게 걸을 수 있으며, 가족, 연인, 친구와 함께 추억을 쌓기에 더없이 좋은 곳입니다. 방문해 주시면 자연의 아름다움과 평온함을 온전히 느끼실 수 있을 것입니다.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202002/26/a3124542-e5c6-4665-9766-a8a5746ed15c.jpg
CONT_000000000500618,천지연폭포,제주특별자치도 서귀포시 남성중로 2-15,자연관광지,#장엄한자연 #마음의안식처 #경이로운풍경 #자연의신비 #청량한공기 #웅장한경관 #자연속힐링 #마음의평화 #자연과의조화 #순수한자연 #고요한시간 #맑은물소리 #자연의경이 #힐링스팟 #아름다운자연경관,"['평일: 09:00~22:00', '주말: 09:00~22:00']",(+82) 064-733-1528,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설","유료,성인 200원 / 어린이,청소년 100원 / 장애인 무료","천지연폭포는 자연의 아름다움과 신비를 동시에 경험할 수 있는 특별한 장소입니다. 폭포는 시원한 물줄기와 주변의 울창한 숲이 어우러져 한 폭의 그림 같은 풍경을 선사합니다. 이곳에서는 맑은 물소리와 함께 산책로를 따라 걷는 즐거움이 있습니다. 또한, 밤에는 조명이 켜져 로맨틱한 분위기를 연출하니 낮과 밤 모두 각기 다른 매력을 느끼실 수 있습니다. 천지연폭포는 자연 속에서 평온한 시간을 보내고 싶은 분들께 강력히 추천드리는 여행지입니다.",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202409/24/1a72123f-ca91-47e4-b13a-07ad8ff2785a.jpg
